comparison,behav_var,image_var,rho,p
MWMtime_entorhinalL_caudomedial,swimtime_t6,localeff_bin,-0.324696356275304,0.0437198673482715
MWMtime_entorhinalL_dorsolateral,swimtime_t2,degree_bin,0.317249792442406,0.0490758458516704
MWMtime_entorhinalL_dorsolateral,swimtime_t1,clustercoeff_weight,-0.367068228574987,0.0215247195339146
MWMtime_entorhinalL_medial,swimtime_t1,strength_weight,-0.410473970364386,0.00944499209400499
MWMtime_entorhinalL_medial,swimtime_t1,clustercoeff_weight,-0.474718534324339,0.00226171167945278
MWMtime_entorhinalL_medial,swimtime_t2,clustercoeff_weight,-0.400202429149798,0.0115882363571443
MWMtime_entorhinalL_medial,swimtime_t1,localeff_weight,-0.511821803067034,0.000866964762721232
MWMtime_entorhinalL_medial,swimtime_t1,eigenvectorcent_weight,-0.419216110396911,0.00789719865179184
MWMtime_entorhinalL_medial,swimtime_t1,pagerankcent_weight,-0.346636017568736,0.0306308789196004
MWMtime_entorhinalR_dorsalintermediate,swimtime_t1,degree_bin,0.381192781613309,0.0166530354980279
MWMtime_entorhinalR_dorsalintermediate,swimtime_t2,betweencent_weight,0.32995951417004,0.0402277414762732
MWMtime_entorhinalR_dorsalintermediate,swimtime_t1,eigenvectorcent_bin,0.382316147236368,0.0163090897348417
MWMtime_entorhinalR_dorsalintermediate,swimtime_t1,eigenvectorcent_weight,0.320307944680084,0.0468157046749317
MWMtime_entorhinalR_dorsalintermediate,swimtime_t1,pagerankcent_bin,0.375810368607512,0.0183868728842966
MWMtime_entorhinalR_dorsalintermediate,swimtime_t1,pagerankcent_weight,0.374590535114602,0.0188001865125302
MWMtime_entorhinalR_dorsolateral,swimtime_t2,eigenvectorcent_bin,-0.338259109311741,0.0351843868235794
MWMtime_entorhinalR_medial,swimtime_t6,strength_weight,-0.370647773279352,0.0201897542677222
MWMtime_entorhinalR_medial,swimtime_t6,pagerankcent_weight,-0.32004048582996,0.0470099583978015
MWMtime_entorhinalR_ventralintermediate,swimtime_t3,clustercoeff_weight,-0.425708502024292,0.00689355101084663
MWMtime_entorhinalR_ventralintermediate,swimtime_t3,localeff_weight,-0.472874493927125,0.00236564333368114
MWMtime_fimbriaL,swimtime_t1,clustercoeff_weight,-0.389431842611679,0.0142665260621342
MWMtime_fornixL,swimtime_t1,clustercoeff_weight,-0.442392946762211,0.00480257670726204
MWMtime_fornixL,swimtime_t1,localeff_weight,-0.354158324108351,0.0269663287709044
MWMtime_fornixL,swimtime_t1,pagerankcent_weight,-0.35761451900493,0.025408610971258
MWMtime_hippocampusL,swimtime_t1,clustercoeff_weight,-0.335555863341465,0.0367668374202266
MWMtime_hippocampusL,swimtime_t1,pagerankcent_weight,-0.325492237024954,0.0431765806015135
MWMtime_hippocampusR,swimtime_t1,clustercoeff_weight,-0.337385613580831,0.035689508779071
MWMtime_hippocampusR,swimtime_t1,betweencent_weight,-0.350510300839204,0.0286953948317108
MWMtime_temporalassnL,swimtime_t2,degree_bin,0.52150667501212,0.000662784188151343
MWMtime_temporalassnL,swimtime_t2,strength_weight,0.329352226720648,0.0406187179340324
NOR_NetpropRunno,RI_T3,transitivity_bin,0.494736842105263,0.0013663063336234
NOR_NetpropRunno,RI_T2,assortcoeff_bin,-0.336234817813765,0.0363640226324775
NOR_amygdalaL,RI_T2,betweencent_weight,-0.396234063598458,0.0125204706107785
NOR_amygdalaR,RI_T2,degree_bin,0.349435965941154,0.0292216993693051
NOR_amygdalaR,RI_T3,clustercoeff_weight,0.34412955465587,0.0319393567160496
NOR_cingulate_24aL,LP,eigenvectorcent_bin,0.338681107777231,0.03494245903163
NOR_cingulate_24aL,LP,pagerankcent_weight,0.326534744079302,0.0424732278792594
NOR_cingulate_24apR,RI_T2,pagerankcent_weight,0.369230769230769,0.0207096896851363
NOR_cingulate_24bpR,RI_T2,degree_bin,0.415852613995933,0.00846476671019365
NOR_cingulate_24bpR,RI_T2,clustercoeff_weight,-0.390485829959514,0.0139832138920419
NOR_cingulate_24bpR,RI_T2,localeff_weight,-0.373684210526316,0.0191122936812678
NOR_cingulate_24bpR,RI_T2,betweencent_weight,0.34412955465587,0.0319393567160496
NOR_cingulate_24bpR,RI_T2,eigenvectorcent_bin,0.428947368421053,0.00643533257297702
NOR_cingulate_24bpR,RI_T2,pagerankcent_bin,0.379757085020243,0.0171014773855858
NOR_cingulate_24bR,RI_T2,degree_bin,0.35206564248571,0.027947334528473
NOR_cingulate_29aL,RI_T2,betweencent_weight,-0.351417004048583,0.0282573221899008
NOR_cingulate_29aR,LP,clustercoeff_bin,0.400931221729113,0.0114236121876594
NOR_cingulate_29aR,LP,localeff_bin,0.400931221729113,0.0114236121876594
NOR_cingulate_29aR,LP,betweencent_bin,-0.384533630736909,0.0156476931863137
NOR_cingulate_32L,RI_T3,eigenvectorcent_weight,-0.372874493927126,0.0193947931468377
NOR_cingulate_32L,RI_T3,pagerankcent_weight,-0.340485829959514,0.0339231404793361
NOR_cingulate_32R,RI_T3,localeff_weight,-0.356072874493927,0.0260939553199621
NOR_cingulate_32R,RI_T3,betweencent_weight,0.447773279352227,0.00425783214484832
NOR_cingulate_32R,RI_T3,eigenvectorcent_weight,-0.415991902834008,0.00844058709408697
NOR_cingulate_32R,RI_T3,pagerankcent_weight,-0.355263157894737,0.0264600090967616
NOR_entorhinalL_caudomedial,RI_T2,betweencent_weight,-0.329554655870445,0.0404880508402372
NOR_entorhinalL_dorsalintermediate,RI_T2,clustercoeff_bin,-0.433400809716599,0.00584830221912399
NOR_entorhinalL_dorsalintermediate,RI_T2,localeff_bin,-0.433400809716599,0.00584830221912399
NOR_entorhinalL_dorsolateral,RI_T2,betweencent_weight,0.36417004048583,0.0226588231876749
NOR_entorhinalL_ventralintermediate,RI_T2,clustercoeff_bin,-0.331781376518219,0.0390731335928348
NOR_entorhinalL_ventralintermediate,RI_T2,localeff_bin,-0.331781376518219,0.0390731335928348
NOR_entorhinalR_dorsalintermediate,RI_T3,degree_bin,-0.393115679511234,0.0132969911867318
NOR_entorhinalR_dorsalintermediate,RI_T3,strength_weight,-0.326923076923077,0.0422136162884888
NOR_entorhinalR_dorsalintermediate,RI_T3,eigenvectorcent_bin,-0.394331983805668,0.0129893948827253
NOR_entorhinalR_dorsalintermediate,RI_T3,pagerankcent_bin,-0.385425101214575,0.0153882489976852
NOR_entorhinalR_ventralintermediate,LP,betweencent_bin,-0.379168986770325,0.0172880801546579
NOR_fimbriaL,RI_T2,strength_weight,-0.403846153846154,0.0107849135541416
NOR_fimbriaL,RI_T3,clustercoeff_weight,0.351214574898785,0.0283546435428461
NOR_fimbriaL,RI_T2,localeff_weight,-0.368623481781376,0.0209359193445843
NOR_fimbriaL,RI_T2,eigenvectorcent_weight,-0.353036437246964,0.0274886408037571
NOR_fimbriaL,RI_T2,pagerankcent_weight,-0.466801619433198,0.00273813537175448
NOR_fimbriaR,RI_T3,clustercoeff_weight,0.336032388663968,0.0364837421689819
NOR_fornixL,RI_T3,clustercoeff_weight,0.349797570850202,0.0290436714831793
NOR_fornixL,RI_T3,eigenvectorcent_bin,0.324089068825911,0.0441381273195561
NOR_fornixL,RI_T3,pagerankcent_bin,0.394331983805668,0.0129893948827253
NOR_hippocampusL,RI_T3,clustercoeff_weight,0.336234817813765,0.0363640226324775
NOR_hippocampusR,RI_T2,pagerankcent_weight,-0.328947368421053,0.0408810801173994
